feature,importance_mean_auc_drop,importance_std
log_impressions_prev_30d,0.14058268990503306,0.004686810087838985
log_clicks_prev_30d,0.01066239416648429,0.0006437924997899983
content_age_days,0.009116016860452025,0.0033213949486506477
log_sessions_prev_30d,0.005777094423125084,0.0012099048362549376
age_tier,0.0006072856151551509,0.0025211339664497658
search_volume,0.00020945969723595859,0.001150761961831135
content_type,0.0,0.0
competition,-0.0005459122380725879,0.0001980334876029935
cpc,-0.0007874230620183553,0.00041752658794374207
char_count,-0.0010209474447918198,0.0017457652515836869
competition_level,-0.0012789368887816677,0.0006883793884602675
word_count,-0.001681788575090315,0.0009075314645086493
main_intent,-0.002244168897004939,0.0007388112556903578
word_count_tier,-0.0030765920780824853,0.0003247998767931247
char_count_tier,-0.003703527710106047,0.0004670648966292058
freshness_tier,-0.004831891735044813,0.0008632054977811351
days_since_last_update,-0.010166676395093189,0.0015902707444741156
